name,speciality,city,workplace,schedule,phone,location
د. أحمد علي,أمراض قلب,الخرطوم,مستشفى الخرطوم,9ص-3م,+249912345678,https://maps.google.com/?q=15.5007,32.5599
د. فاطمة محمد,أطفال,أم درمان,عيادة أم درمان,10ص-2م,+249912345679,https://maps.google.com/?q=15.5883,32.5342
د. علي حسن,أسنان,بحري,مركز بحري للأسنان,8ص-1م,+249912345680,https://maps.google.com/?q=15.6333,32.5333
د. مريم عبد الله,باطنة,مدني,مستشفى ود مدني,9ص-4م,+249912345681,https://maps.google.com/?q=14.4011,33.5199
د. خالد يوسف,نساء وتوليد,بورتسودان,مستشفى البحر الأحمر,8ص-2م,+249912345682,https://maps.google.com/?q=19.6175,37.2164
د. آمنة إبراهيم,جلدية,سنار,مركز سنار الجلدي,10ص-5م,+249912345683,https://maps.google.com/?q=13.5675,33.5675
د. محمد الحاج,جراحة,الأبيض,مستشفى الأبيض التعليمي,8ص-3م,+249912345684,https://maps.google.com/?q=13.1833,30.2167
د. سارة عثمان,عيون,عطبرة,مستشفى عطبرة,9ص-1م,+249912345685,https://maps.google.com/?q=17.7022,33.9861
د. عادل الطيب,عظام,كسلا,مستشفى كسلا,9ص-2م,+249912345686,https://maps.google.com/?q=15.4594,36.4034
د. نجلاء أحمد,نفسي,نيالا,مستشفى نيالا,10ص-3م,+249912345687,https://maps.google.com/?q=12.05,24.8833
د. طارق عمر,مسالك بولية,الجنينة,مستشفى الجنينة,9ص-1م,+249912345688,https://maps.google.com/?q=13.45,22.45
د. منى علي,أنف وأذن وحنجرة,دنقلا,مستشفى دنقلا,8ص-12م,+249912345689,https://maps.google.com/?q=19.1667,30.4833
د. حسن قسم الله,مخ وأعصاب,كوستي,مستشفى كوستي,9ص-3م,+249912345690,https://maps.google.com/?q=13.1667,32.6667
د. رحاب دفع الله,غدد صماء,الدمازين,مستشفى الدمازين,10ص-2م,+249912345691,https://maps.google.com/?q=11.7775,34.3569
د. يوسف عبد الرحمن,أورام,الفاشر,مستشفى الفاشر,9ص-1م,+249912345692,https://maps.google.com/?q=13.6333,25.35
د. آية الطاهر,تخدير,زالنجي,مستشفى زالنجي,8ص-3م,+249912345693,https://maps.google.com/?q=12.9,23.4833
د. صلاح حسن,طب طوارئ,القضارف,مستشفى القضارف,24 ساعة,+249912345694,https://maps.google.com/?q=14.0333,35.3833
د. ميادة يوسف,أمراض صدرية,سنجة,مستشفى سنجة,9ص-2م,+249912345695,https://maps.google.com/?q=13.15,33.9333
د. إبراهيم موسى,كلى,الرهد,مستشفى الرهد,8ص-1م,+249912345696,https://maps.google.com/?q=12.7333,31.6333
د. سلوى عبد الرحمن,طب الأسرة,كادقلي,مستشفى كادقلي,9ص-3م,+249912345697,https://maps.google.com/?q=11.0167,29.7167
